season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,David Astbury,9,7,7,0,0,0,2
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Shai Bolton,3,2,3,0,0,1,0
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Dan Butler,10,2,3,3,0,0,7
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Josh Caddy,13,5,6,3,2,0,2
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Jason Castagna,7,4,8,2,1,0,4
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Reece Conca,9,0,7,0,0,0,7
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Trent Cotchin,14,2,10,0,0,0,4
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Shane Edwards,5,3,11,0,0,0,4
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Brandon Ellis,11,3,7,0,1,0,3
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Corey Ellis,6,2,6,0,0,0,4
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Jack Graham,7,0,6,0,1,0,13
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Shaun Grigg,7,4,10,0,1,0,2
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Dylan Grimes,4,1,2,0,0,0,2
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Kane Lambert,7,1,7,0,0,0,2
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Dustin Martin,20,5,12,1,3,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Kamdyn McIntosh,19,5,0,0,1,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Toby Nankervis,7,2,7,0,0,33,5
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Alex Rance,9,3,6,0,0,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Jack Riewoldt,12,7,6,4,2,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Jayden Short,12,2,4,0,1,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Jacob Townsend,6,5,3,4,2,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Richmond,Nick Vlastuin,10,3,2,0,0,0,3
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Ciaran Byrne,6,4,8,0,0,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Levi Casboult,7,4,3,1,0,19,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Patrick Cripps,13,5,23,0,1,0,7
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Charlie Curnow,14,10,5,5,0,0,2
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Ed Curnow,15,2,14,0,0,0,4
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Paddy Dow,5,1,6,0,0,0,5
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Zac Fisher,13,2,8,1,0,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Jarrod Garlett,9,7,8,2,0,0,0
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Liam Jones,6,2,4,0,0,0,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Matthew Kennedy,2,2,2,0,0,0,0
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Matthew Kreuzer,7,1,10,0,1,23,1
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Jed Lamb,10,5,6,0,1,0,0
2018,1,2018-03-22,M.C.G.,Richmond,Carlton,Carlton,Caleb Marchbank,13,6,6,0,0,0,4
